age,lake,lakenorm,char,charnorm,Poa,Poanorm,Podo,Podonorm,Miombo,Miombonorm,Olea,Oleanorm,rich,richnorm,Age
21.35994485,0.156819806,0.779804573,0.777463802,0.443979097,38.3,0.219791712,11.1,0.228395351,0.7,0.297014912,3.9,0.527381263,2.167409356,0.139197751,<85 ka
31.83705116,0.150649007,0.77001117,0.67232828,0.401676881,36.7,0.194895997,6.73,0.14272895,0,0.148747214,14.5,0.99980712,2.362528442,0.167739673,<85 ka
33.10475573,0.14124137,0.754622277,0.622550436,0.382012175,38.14,0.217222893,8.31,0.170803273,1.71,0.579706829,5.5,0.723782426,2.353820497,0.166390669,<85 ka
34.13537178,0.130182059,0.73584663,0.620898564,0.381364487,42.4,0.291259568,9.31,0.190282829,1.96,0.64908954,6.1,0.785571766,2.134453486,0.134724319,<85 ka
35.62400869,0.151639356,0.771599141,0.66172962,0.397467109,41.33,0.27160852,9.08,0.185685825,0.16,0.177347558,3.9,0.527381263,2.555914845,0.199498571,<85 ka
36.07639015,0.159880836,0.784572466,0.677811064,0.403859154,46.17,0.365240933,7.92,0.163565078,1.58,0.542466323,4.6,0.617363134,2.349312371,0.165695046,<85 ka
37.56439083,0.16255787,0.788692715,0.721113348,0.421194429,34.19,0.159472239,9,0.184103155,2.57,0.795671824,6,0.775867541,2.349181783,0.165674924,<85 ka
38.47247713,0.151958847,0.772110111,0.738256176,0.428101689,36.16,0.186896719,7.34,0.153174566,1.13,0.412761539,4.7,0.629829516,2.546671289,0.197902761,<85 ka
41.33539299,0.198658224,0.839620815,0.770939383,0.441330031,40.33,0.253860162,10.38,0.212573546,0.94,0.359964312,6.2,0.795027138,2.122903051,0.133180069,<85 ka
44.22784162,0.186610101,0.823595352,0.79020105,0.44915783,40.05,0.249002002,8.75,0.179211654,0.8,0.322644203,5.1,0.678231246,2.358845643,0.16716829,<85 ka
45.95175774,0.165158319,0.792650538,0.795144468,0.451170119,43.81,0.318123052,7.85,0.162287311,2.11,0.688603425,6.8,0.846378482,2.349099458,0.16566224,<85 ka
46.79581345,0.166402121,0.794527976,0.799605421,0.452987092,33.56,0.151288218,5.7,0.126207289,1.34,0.472971577,6.2,0.795027138,2.340940359,0.164408206,<85 ka
49.14475421,0.177237803,0.810452523,0.842944039,0.470684716,37,0.199428648,15,0.324557814,1.33,0.47007914,4,0.540434245,2.356197113,0.166758149,<85 ka
51.59065801,0.197215377,0.837753419,1.145529266,0.593915258,41.44,0.273597903,5.96,0.130246314,0.99,0.373646737,5.3,0.701401889,2.572892904,0.202449769,<85 ka
56.17638258,0.178160913,0.811773133,1.048563053,0.554843703,40.09,0.249692983,5.26,0.119572535,0.93,0.357248582,5.5,0.723782426,1.933836845,0.109623755,<85 ka
74.11705981,0.155045355,0.777013187,1.716791573,0.795345761,41.83,0.280708738,10.69,0.219305857,3.05,0.880035235,11.9,0.996489229,2.58473708,0.204523946,<85 ka
77.59748976,0.173204509,0.80461586,1.871805858,0.837571769,22.63,0.051984314,26.76,0.661627644,0.97,0.36815352,9.3,0.967262637,2.354964479,0.16656749,<85 ka
78.47128035,0.214028169,0.858638653,2.209597967,0.908555205,24.38,0.062928254,32.76,0.805589245,1.97,0.651780669,6.9,0.854027229,1.936838986,0.109972773,<85 ka
79.44135646,0.144084189,0.759330052,2.502349015,0.948762776,28.19,0.092876791,29.16,0.724027536,0.72,0.302065953,7.9,0.916553254,1.929482528,0.109118953,<85 ka
80.23325716,0.149211298,0.767694923,2.766672372,0.971597142,38.02,0.215307711,13.09,0.275386967,2.22,0.716289018,5.4,0.712695274,2.555924653,0.199500268,<85 ka
