V1,V2,V3
-1.807602031,-0.419943534,-17.1589972
0.265640487,-0.786628932,-12.85235455
6.055009695,7.133027675,-12.52811255
11.40039559,14.09356938,-11.60419346
5.110662734,5.802129169,-12.59542126
12.97756117,12.20999799,-5.72232114
11.78807369,8.087716846,-1.572029453
5.29325133,-4.442440884,0.865305633
13.24116265,10.79667401,-1.81083571
13.21875519,6.073626703,5.047288324
8.770274147,-1.918267697,5.834610144
8.892025589,-1.478169943,4.587766747
7.773844837,-2.784843961,4.857823743
12.23249595,7.614871644,0.296838616
9.100163596,-0.625121416,2.231102184
2.948372531,-8.904574612,4.10153157
2.848103821,-9.423150068,4.890621558
0.865568012,-1.077522002,-10.88210783
0.033733784,0.386106015,-12.80207889
6.725324222,9.404454925,-13.48382237
7.064211696,9.890443231,-12.58472077
10.61367086,14.09273011,-12.86753859
-5.915705467,-11.51779909,-13.83125668
5.840760108,9.742858822,-15.91783727
-3.542438762,-0.927736133,-16.5834126
5.2825574,8.671595931,-17.8217271
-6.451959379,-5.289932938,-16.68371712
0.818737343,5.471967923,-18.45992356
-0.813451468,3.579883282,-17.44661424
4.373877588,10.38313274,-16.32066316
2.187375173,7.447514979,-16.55310541
-3.323239271,3.232167768,-17.52244705
-2.083791823,3.301322794,-16.07997497
0.542191865,5.816064644,-16.62764883
2.882006364,8.233409823,-17.42653164
-5.1297272,0.749750973,-16.25398591
4.380491709,9.468087134,-15.34889855
-3.962069457,2.158115192,-16.12987735
-4.616327714,1.356013325,-17.70918118
-6.871272261,-10.65373877,-14.02969989
-3.503952692,-0.225833539,-15.05646397
-1.747730954,1.475265097,-14.62598577
-5.602344652,-4.177121435,-13.26649339
-4.421137328,-2.391300417,-13.05813948
-5.412837289,-1.030061558,-13.3616592
-0.778231822,3.023672907,-11.76226742
6.631852476,-0.843981335,3.105190904
5.47390491,-2.570744371,3.872523728
9.997830927,-5.546076777,20.46828329
9.933092523,-5.479785007,20.89333033
17.48598429,9.112878165,8.03383256
16.04414346,8.161817319,8.888759677
3.379107286,-2.434985689,-1.633100107
8.692760503,11.94536358,-8.875236474
-5.018029365,-0.967327934,-12.04205914
0.492236546,-7.172111826,-0.88411403
4.040332215,-0.158035833,-2.766626277
5.238971637,0.659957503,-1.780867441
12.41905459,12.91958484,-1.110641048
5.363793709,-1.517755082,4.217783014
13.47241187,7.407045989,7.487084255
13.63200987,8.549724635,8.106464587
12.28172254,7.997997403,7.445165694
14.45943629,9.322049461,7.013493468
14.94297936,12.43927937,3.903877165
14.86910519,11.07708093,5.398839886
13.82929945,13.61884524,1.027355083
9.365169604,8.365871175,1.189916615
13.73933138,12.4915623,2.358846718
12.59010238,10.20175791,4.331266417
11.62793419,9.663665585,3.876610851
4.973309406,-1.358656922,1.886227194
9.276765234,10.1295146,-0.168149225
-4.665644953,1.673528876,-11.2548132
-3.298064487,2.489785126,-10.5263874
2.633976376,-3.2850303,-0.397676917
7.637746005,15.19994379,-8.106116305
5.865594718,15.49824171,-8.195899958
-1.011693252,-7.813627375,-1.850949265
10.15340061,13.80019973,-2.05345921
9.603857335,9.846395837,3.223197477
7.413358949,14.9470936,-5.566404195
