charcoal age,MACROcharcoal (log(char)*rate),,,,
185.527583,0.330900717,,,,
185.92165,0.382045166,,,,
186.1411178,0.923546876,,,,
186.1942824,0.427603613,,,,
186.5928445,0.452182703,,,,
187.0128409,0.415106263,,,,
187.4290853,0.528613888,,,,
187.4990961,0.407966426,,,,
187.9107326,0.439787742,,,,
188.2943849,0.495216021,,,,
188.6978437,0.508369294,,,,
189.0968331,0.398696006,,,,
189.4940606,0.355995604,,,,
189.8835517,0.689451551,,,,
190.267925,0.432140788,,,,
190.4803242,0.496372656,,,,
190.8561991,0.609758971,,,,
191.3429308,0.671029488,,,,
191.455858,0.737498858,,,,
191.8182891,0.863523312,,,,
192.1785128,0.689643668,,,,
192.531438,0.566392724,,,,
192.8798782,0.592970978,,,,
193.2265146,0.725612314,,,,
193.2591857,0.641954353,,,,
193.5391098,0.841700154,,,,
