"","hunting","gathering","fishing","MAT","MATseas","TAP","TAPseas","lon","lat"
"Kutenai_(Lower)",0.4500739236526,0.1500739236526,0.4000739236526,-0.639899184977982,0.301408962755987,-0.145593402073455,-0.906670720072971,-114.08,47.48
"Bannock_(Eastern)",0.500135189488426,0.300135189488426,0.200135189488426,-0.504337490372598,0.776363021492141,-0.833849189897152,-1.09188874479121,-112.32,43.66
"Gros_Ventre",0.800045200523935,0.200045200523935,0.0000452005239345326,-0.513374936679623,1.05482719505031,-0.756263991997026,0.278724638123781,-105.6,48.12
"Bungi_(Plains_Ojibwa)",0.750101918708364,0.100101918708364,0.150101918708364,-0.657974077592033,1.50096604938616,-0.517251527498252,0.0194194035182417,-97.25,47.6
"Piegan-(Pikuni)",0.800127578635197,0.200127578635197,0.000127578635197306,-0.567599614521777,0.805923446695908,-0.737493379601834,-0.202842226143649,-111.21,49.34
"Blackfoot",0.750141599876044,0.200141599876044,0.0501415998760443,-0.775460879583366,1.22324709663144,-0.743750250400232,-0.0917114113127038,-110.76,51.01
"Assiniboin",0.700004163573313,0.200004163573313,0.100004163573313,-0.793535772197417,1.46196616067194,-0.632377950188761,0.0194194035182417,-102.43,49.49
"Plains_Cree",0.750047489511495,0.100047489511495,0.150047489511495,-0.983322144644955,1.60827784508387,-0.598590847877416,-0.239885831087298,-102.67,51.86
"Blood_(Kainah)",0.850053190941347,0.100053190941347,0.0500531909413466,-0.82968555742552,0.955712828190625,-0.557295500607994,0.278724638123781,-113.86,52.79
"Sarsi",0.820078400791077,0.100078400791077,0.080078400791077,-0.883910235267674,1.25678203278697,-0.61110458947421,0.204637428236484,-111.04,53.15
"Squamish",0.250118013053408,0.150118013053408,0.600118013053408,-0.242251547468855,-0.0841185995654088,0.655286060121392,-0.202842226143649,-123.19,49.77
"Alsea",0.150088304592087,0.100088304592087,0.750088304592087,-0.16995197701265,-0.604034313443426,1.77902005551354,0.389855452954727,-123.84,44.42
"Puyallup",0.15010683651172,0.15010683651172,0.70010683651172,-0.16995197701265,-0.414996636300009,0.581454984700305,-0.647365485467431,-122.04,47.11
"Twana",0.200016624616592,0.100016624616591,0.700016624616591,-0.332626010539111,-0.412264160020669,1.66889912946175,0.167593823292836,-123.16,47.55
"Chehalis",0.200057582437759,0.150057582437759,0.650057582437759,-0.133802191784547,-0.55484974041531,1.52749384941797,0.0935066134055387,-123.67,46.87
"Nootka_(Central)",0.0500536725714013,0.0500536725714013,0.950053672571401,-0.612786846056905,-0.622416426595348,1.97423442442353,-0.202842226143649,-125.74,49.34
"Chinook",0.100006659339148,0.150006659339148,0.750006659339148,-0.133802191784547,-0.663900384654416,1.62635240803264,0.167593823292836,-123.75,46.06
"Coos",0.10013095543491,0.10013095543491,0.80013095543491,-0.0795775139423937,-0.762269530710648,0.959369980923498,0.500986267785672,-124.11,43.43
"Lilioot",0.400004577107014,0.100004577107014,0.500004577107014,-0.504337490372598,0.295944010197308,-0.014199115307113,-0.239885831087298,-123,50.46
"Lummi",0.150001314984349,0.100001314984349,0.750001314984349,-0.151877084398599,-0.402327882641252,0.314912288688582,-0.647365485467431,-122.34,48.84
"Quinault",0.150027814837566,0.100027814837566,0.750027814837566,-0.305513671618034,-0.492499599859465,2.86896694859434,0.167593823292836,-123.82,47.38
"Statlo",0.150022975960669,0.100022975960669,0.750022975960669,-0.151877084398599,-0.29029635518832,0.696581407390814,-0.313973040974595,-122.7,49.23
"Cowichan",0.300108250766087,0.100108250766087,0.600108250766087,-0.278401332696957,-0.53522559259096,0.462574439530757,0.31576824306743,-123.64,48.41
"Tillamook",0.250035539082531,0.300035539082531,0.450035539082531,-0.160914530705624,-0.759288647496823,1.75649532063931,0.167593823292836,-123.82,45.4
"Comox",0.150066714040471,0.100066714040471,0.750066714040471,-0.332626010539111,-0.395620895410145,1.12830549248022,-0.202842226143649,-125.5,50
